,text,Trust,boring,lively,persuasive,reasonable,trustworthy,logical,feel about the topic
1,I don't know.,3,3,5,2,2,3,2,3
2,"I had no idea about the government buying bonds to increase whatever it is they're doing. I'm not an economist, but it seems that the Dr Fauci idea of let's keep everyone locked up had (as expected) serious economic consequences.",3,5,3,4,3,4,5,1
3,"Some folks enjoy catastrophising the state of the world's climate. They've been promising the end of the world since the book of Revelation, yet... here we are!",3,1,5,5,5,3,4,5
4,"Yeah, that diplomatic strategy with Russia is working wonders!",1,5,3,2,3,1,3,2
5,Who are Justin Herbert or Joe Burrow?,3,2,5,3,3,4,3,3
6,Mainstream media is the enemy of the people.,3,2,5,4,4,4,4,3
7,I don't know.,4,5,2,4,4,3,5,2
8,"The mother should've learnt English, is not that difficult.",3,5,4,2,3,1,3,3
9,It's good for a team to have faith.,5,3,5,4,3,5,3,4
10,It is hard to speak about topics that offend people.,2,5,3,2,3,2,2,3
11,I'm curious to know about such book!,3,1,5,3,4,3,4,4
12,It's good to know there are checks and balances for vaccines because that crap is actually killing people right now.,3,2,4,5,5,4,4,4
13,"I wish it was that easy! The speaker is forgetting about federal judges that block presidential choices... so basically, the president is ineffective because of this one chap in rural Florida who is offended by the political affiliation of the president and then blocks the bill.",3,5,3,4,3,4,4,2
14,I don't like animated series.. I'm an adult.,2,4,5,3,2,3,4,3
15,I don't know.,1,5,3,2,1,1,2,1
16,I don't know.,1,3,5,2,3,3,3,3
17,Walgreens really thought that hack of the fake Steve Jobs with estrogens fraudster was a valid source of science? ðŸ¤£,4,2,5,5,5,5,5,4
18,"If you're getting asked to be nasally-raped to attend a 'party', let me tell you, that ain't a party for me!",2,4,3,1,1,1,1,1
19,Speaker S is dead right about all of that.,4,3,4,5,5,5,3,2
20,I don't know.,3,3,4,2,3,3,3,3
21,What type of crises is he talking about?,2,3,4,3,1,3,2,3
22,"That is true, about the REM and memory consolidation.",4,2,4,5,5,5,5,5
23,"Don't, I've never been to space.",1,4,5,2,1,1,2,3
24,We need less government regulation but he makes valid points.,3,2,3,5,5,4,5,4
25,It's nice to know the story behind AirBnB. I didn't know it! Cool.,4,2,4,3,3,4,5,4
26,I don't know.,3,3,3,3,4,3,4,3
27,I don't know.,3,4,2,2,3,4,4,3
28,That is true.,4,3,2,4,4,3,4,3
29,That was a fraud through and through.,1,3,3,2,3,1,1,2
30,"Good thing we left that Paris Climate Agreement... uh, wait, I think we didn't.",2,4,1,1,1,2,1,1