,Filename,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,Speaker_Rate,speaker_boring,speaker_lively,speaker_persuasive,speaker_reasonable,speaker_trustworthy,speaker_logical,rater_feel_topic,speaker_trusts_their_partner,
1,B,-0.847285775,0.487462436,0.621796427,-0.369290068,2.495772492,-1.064457268,1.540707623,-0.626441317,0.340951907,0.428417563,0.296720471,-0.187265815,0.042518156,0.532953132,-0.188524578,0.157166877,-1.347457776,3,2,3,2,2,2,1,2,4
2,G,-0.692625149,-0.268488204,-0.282411611,-0.327495868,-0.051501735,-0.731776807,0.006728969,1.332313703,0.323523804,0.744961643,0.879854109,-0.285911694,1.047248135,0.071343039,-0.685651604,1.094870696,0.039826721,2,4,3,4,3,4,3,1,3
3,H,-0.289213976,0.364220231,0.827787021,-0.240610525,0.407261697,-0.797147013,0.118604158,1.001592018,0.304437056,0.875719267,0.805701516,-0.302290865,0.987056949,0.431167801,0.001965113,0.286733977,0.950279886,2,3,5,5,5,5,1,1,5
4,L,-0.910621738,2.57764436,-2.285937327,-1.289192362,-1.869605552,-1.115512997,-1.1377936,-0.108977151,-3.258270229,-2.370529677,-2.345961627,1.904246295,-2.043075221,-0.317191342,0.291885966,-0.78028018,1.118558246,3,3,3,4,4,4,1,1,1
5,O,0.211550781,0.007998547,0.399698817,0.244546423,-0.469076149,0.303401764,-0.327623684,-0.131695503,0.19846497,0.402061905,0.497879646,-0.191387221,0.16444284,-0.586626887,-0.621347148,0.54666361,0.603760585,3,3,3,2,3,2,3,1,5
6,R,0.134615386,-0.592266071,0.77361157,0.771257156,0.408017328,0.585568777,0.072566089,-1.354716705,0.117083663,0.820778663,0.383288104,-0.149593829,0.296270182,0.343259107,-0.436945574,-0.453315324,0.894554595,3,3,3,3,3,3,1,2,5
7,S,0.598050838,0.079623032,0.760636923,-1.266913002,-1.283735222,-1.115972212,-0.765580536,0.709028668,0.181525424,0.000861904,0.495405778,-0.211950302,0.986074207,-0.535533943,-1.46786872,1.756187763,-0.506789734,1,4,4,4,4,4,2,1,2
8,Y,0.556355076,-0.653274757,0.757282655,0.072756671,0.424124659,-0.232168796,-0.169916353,0.403182534,0.156724128,-1.619183051,-1.975487146,-0.353347379,-1.973686332,-0.831850518,0.236647544,-0.353465371,0.273306435,1,1,2,2,2,2,2,1,1
9,Z,-0.094361838,1.375636417,0.691427576,1.25820329,0.649871499,1.191106586,1.408602467,1.464672329,0.464397634,0.894146363,0.803332125,-0.391814711,0.74068919,0.194537374,1.818515008,-0.97402669,0.642930778,2,4,3,4,3,4,1,1,4
10,AD,-0.223811522,2.302319989,-0.285827415,0.627049208,-0.151402725,0.367515872,-0.665997309,0.826832068,0.121702236,0.199317495,0.335416005,0.019305165,0.365566803,-1.835345993,-0.946271351,1.712644854,-1.148131543,3,3,1,1,1,1,1,2,2
11,A,-0.237472688,-0.275158707,0.045828502,-0.576778649,-0.233854742,-0.560938316,-0.496264477,-0.524250865,0.396160147,0.593969244,0.69383438,-0.279084761,0.734639499,-1.401648389,0.161430277,-0.606475552,-1.300364471,3,4,4,2,3,3,3,1,5
12,C,-0.543256598,3.240527352,-0.291888102,0.245486989,-1.008229763,0.561351523,-0.528130596,0.370587501,0.025634604,-1.06006215,-1.620804076,-0.218188954,-1.319563318,-0.542732396,-0.170923865,0.797125731,-0.192041624,4,3,3,4,4,4,3,1,2
13,D,-0.66834428,0.3565211,0.015577922,-0.296663162,-0.446667071,-0.08161879,-0.412161175,0.63770447,0.350951897,1.051599124,0.927889384,-0.30373749,0.564353205,0.090210259,-0.830923489,1.735789281,1.173436091,4,2,2,2,3,3,3,1,1
14,E,-0.805957208,-0.222192642,-0.087352128,2.156804256,2.486461314,0.661309209,4.874887927,0.728694683,0.562434019,1.076393324,1.717359862,-0.403139745,1.583549541,3.271546395,3.938804873,-2.50003645,-0.402867943,1,5,5,4,4,4,3,1,1
15,F,-0.726472292,2.032460199,-1.676343713,0.747081825,-0.787792993,1.212705482,0.216353575,1.937294269,0.492710536,-0.815241781,-0.123120527,-0.542738912,0.446727538,-1.185194207,0.430258996,-0.930407912,0.093325484,2,4,5,5,5,5,1,1,1
16,I,-0.242465926,-0.279330047,0.549975896,0.648865544,0.152927475,0.657224293,-0.289806237,-0.14955371,0.199805861,-0.596387533,-0.276218188,-0.006053903,-0.462560171,-0.740763317,-1.148397106,0.929296948,-0.37112097,3,3,3,3,3,3,3,1,5
17,J,0.049998351,-0.742476283,0.707714314,0.654400209,2.150798632,-0.308181514,0.386745886,-0.733516209,0.358733399,1.182503685,1.490310581,-0.327475095,1.523998463,1.427468243,1.643138508,-2.393454008,-0.708985411,2,4,2,2,2,2,2,1,2
18,K,-0.79460222,0.254560979,-2.171572848,-0.901192657,-1.19580464,-0.821203286,-0.672250086,1.986395553,0.227292548,-0.957676033,-0.482537956,-0.27988733,-0.254458213,0.426396432,0.430376031,-0.781302065,1.221037816,2,4,4,4,4,4,4,1,1
19,M,-0.776132984,2.023100287,-2.603768159,-0.826047244,-1.702521747,-0.251705039,-0.906739666,-4.276021802,0.2542841,-0.830744731,-1.140951718,-0.078643577,-4.237769125,0.875588383,-2.01118566,-1.859089422,-3.89805391,2,3,4,5,5,5,2,2,1
20,N,1.486560165,-0.696720608,0.761198782,0.267767071,0.762804906,-0.043142233,0.079802608,-0.498366218,-0.033654385,1.461243213,0.705325474,-0.062784036,0.528827942,0.508113366,-0.662334922,-0.304283583,0.631335438,2,4,5,5,5,5,2,1,4
21,P,-0.609542307,-0.340204627,0.19591088,-0.597223033,-0.442107928,-0.421629013,-0.260427451,0.688298836,0.11832825,-0.702499761,-0.144890382,-0.165489878,0.286933625,-0.250997927,-1.528707593,1.169079734,-0.905291058,2,4,4,4,4,4,2,1,1
22,Q,-0.086982429,-0.259919399,0.775302288,2.681831178,2.501928072,1.799691173,1.408204465,-0.257289618,0.384533616,0.588600479,0.808817802,-0.326409223,0.817068403,0.841794059,0.401733497,-0.406963642,-0.373830414,3,3,2,2,2,2,3,1,2
23,T,0.28256645,-1.083709039,0.630820531,-0.113219941,-0.527327945,0.001704526,-0.156492145,0.859362108,0.136238469,-0.304248415,-0.465704817,-0.239898137,-0.014470803,-0.585758019,-0.696503319,1.091364464,0.065728855,3,3,3,3,3,3,3,1,2
24,U,-0.46874303,-0.608447832,0.129039961,-1.484707163,-0.394765924,-1.54100145,-1.092973978,-1.303643146,0.195697874,0.863324035,0.510162461,-0.027150582,0.212367494,1.497957214,-0.529099205,0.408991946,0.148512078,3,3,3,4,4,4,2,1,4
25,V,0.09913254,-0.407498406,0.62112064,-0.132169321,-0.039371215,-0.076687329,-0.149464559,-0.488676751,-3.840568736,-1.95209408,-2.457511753,3.966475669,-2.029586445,-0.7644051,-0.478578361,0.334672678,-0.791497396,3,4,4,4,2,4,2,1,1
26,W,-0.652392581,0.07498238,0.028697794,-1.307448449,-0.595743776,-1.181208031,-0.775050678,-1.418202536,0.184815884,-1.586284634,-2.038753192,-0.104933763,-2.138244395,-0.300534083,-0.297130899,0.09484634,-1.683388199,2,4,5,5,5,5,2,1,5
27,X,-0.730730412,-0.255620033,-1.998193318,0.351797398,-0.949004271,1.047172469,-0.259973655,0.640150414,0.367135597,-0.245290095,-0.260021811,-0.40916712,0.149587242,0.314878466,0.650026135,-1.356192135,-0.002096329,3,4,4,4,4,4,2,1,2
28,AA,-0.585126938,-0.513929588,-0.16350138,-0.516689335,0.431503228,-0.754530682,0.494699495,0.59453451,0.320048849,0.669632182,0.704578743,-0.234091299,0.631187462,0.206119333,0.779388812,0.696821538,0.695548156,3,3,3,4,3,4,1,1,4
29,AB,-0.796393588,0.531248998,0.561302706,-0.401317355,1.160098255,-0.368170977,2.132758377,-2.182050134,0.332924051,0.85653559,1.002522675,-8.63E-05,-0.831233477,-0.860952481,-0.260871315,0.527861673,-2.054472689,3,4,4,4,4,4,3,1,5
30,AC,-0.469307834,-0.23433227,-0.765135461,1.12082915,-0.641774475,1.409563771,-0.299818714,0.444332662,0.315588887,-0.196178795,-0.21080444,-0.321598057,0.035344583,-1.591455406,0.292623683,0.383168257,1.348436928,3,4,4,4,4,4,2,1,2